类别,虚拟机,厂商是否独有,任务视角的故障等级,HAS级别,中文,项目,是有有感,对业务影响,来源,时效,影响,恢复方案,是否客户有感/需要通知客户操作维修,危害等级(云),是否推送事件中心,客户有感case,手动判断方法
PCIe链路,有,否,FATAL,FAIL,通道数掉,LaneDrop,是,业务降速/中断,带内,20s,pcie链路降速,报修，检查PCIe插槽/线缆/重插拔,是,P1,是,,lspci -vvv -s <bus>" | grep -i ""LnkSta:"" 查看当前链路宽度/速度"
PCIe链路,有,否,FATAL,FAIL,带宽掉,BWDrop,是,业务降速,带内,20s,pcie链路降速,报修，检查PCIe插槽/线缆/重插拔,是,P1,是,,lspci -vvv -s <bus>" | grep -i ""LnkSta:"" 查看当前链路宽度/速度"
PCIe链路,有,否,ERROR,FAIL,CPU处理PcieCE耗时异常,CEErrorFFDC,是,系统稳定性风险,带外,24小时,pcie设备CE错误累积,报修，分析FFDC日志定位故障部件,是,P2,是,,"ipmitool sel list | grep -i pcie; dmesg | grep -i ""aer|pcie"""
HDDSSD,无,否,FATAL,FAIL,Smart值告警,SMARTFail_$ID,有,数据丢失风险,带内,2小时,SMART值超过门限,换盘，提前迁移数据,是,P0,是,,SMARTFail_None：smartctl -a /dev/sdx读不到smart信息，可以不修，但会影响监控
HDDSSD,无,否,FATAL,FAIL,硬件故障告警,HardwareError,有,业务中断/数据丢失,带内,2小时,有报hardwareError关键字,换盘，优先迁移数据,是,P0,是,,"dmesg | grep -i ""hardware error|I/O error""; smartctl -H /dev/sdx"
HDDSSD,无,否,FATAL,FAIL,掉盘,Missing,有,业务中断/数据丢失,带内,2小时,掉盘，RAID降级或文件系统异常,换盘，检查背板/线缆/供电,是,P0,是,,"lsblk | grep sd; dmesg | grep -i ""removed|detached""; lsscsi"
HDDSSD,无,否,FATAL,FAIL,盘符不可读,NotReady,有,业务中断,带内,2小时,testready盘符不可读，IO阻塞,换盘，检查文件系统挂载状态,是,P0,是,,blockdev --getsize64 /dev/sdx; fsck -n /dev/sdx; mount | grep sdx
HDDSSD,无,否,FATAL,FAIL,寿命到期,SSDWearOut,有,数据写入失败风险,带内,2小时,寿命到期 小于1%，写入保护或性能骤降,换盘，提前规划数据迁移,是,P0,是,,"smartctl -a /dev/sdx | grep -E ""Percentage Used|Media_Wearout_Indicator"""
HDDSSD,无,否,ERROR,ERROR,媒介告警,FpdmaQueuedFail,有,IO性能下降/数据错误,带内,2小时,有io error且盘smart有error,fa（故障分析），必要时换盘,是,P1,是,,"dmesg | grep -i ""fpdma|queued""; smartctl -l error /dev/sdx"
HDDSSD,无,否,WARN,FAIL,坏块太多,TooMany,无,读写性能下降,带内,2小时,坏块太多，超过阈值,换盘，提前迁移数据,是,P1,是,,"smartctl -l selftest /dev/sdx; dmesg | grep -i ""bad block"""
